Identifiant du carnet,Date de saisie du carnet,Date de jour de collecte,Origine,Ligne n�,Nature de la dépense,Montant,Enseigne ou type de magasin,coicop,Libellé coicop
10157222_01,20/08/2024,15/05/2024,TABLEAU,3,CEREMONIE RELIGIEUSE MARIAGE,180,CHEQUE,13.9.0.2,Services religieux (S)
10157697_01,27/08/2024,16/06/2024,TABLEAU,2,CERISES,10.5,MARCHE,01.1.6.3.4,"Cerises, fraîches"
10156765_01,03/09/2024,21/06/2024,TABLEAU,1,CERISES,10,MARCHE BOULANGERIE,01.1.6.3.4,"Cerises, fraîches"
10157260_01,03/09/2024,14/06/2024,TABLEAU,1,CERISES,4.7,LIDL,01.1.6.3.4,"Cerises, fraîches"
10157260_01,03/09/2024,10/06/2024,TABLEAU,1,CERISES,3.6,MONOPRIX,01.1.6.3.4,"Cerises, fraîches"
10157260_01,03/09/2024,12/06/2024,TABLEAU,1,CERISES,3.6,MONOPRIX,01.1.6.3.4,"Cerises, fraîches"
10158782_01,20/08/2024,28/05/2024,TABLEAU,2,CERISES,,COLRUYT,01.1.6.3.4,"Cerises, fraîches"
10157020_01,02/08/2024,25/05/2024,TABLEAU,1,CERISES = ALIMENTATION,4,DETAILLANT PRODUCTEUR AU MARCHE,01.1.6.3.4,"Cerises, fraîches"
10157836_01,25/07/2024,24/05/2024,TABLEAU,1,CERVELAS VINAIGRETTE,6.8,CARREFOUR CONTACT,01.1.2.3.2,"Viande de porc, coupes, salée, séchée ou fumée (lard et jambon)"
10156989_01,26/08/2024,05/06/2024,TABLEAU,1,CFDT / ABONNEMENT,10.9,ORGANISATION SYNDICALE,98.2,Divers
10157108_01,05/08/2024,31/05/2024,TABLEAU,1,CHAGE PASSE NANIG,84.2,//,07.3,SERVICES DE TRANSPORT DE PASSAGERS
10156931_01,04/09/2024,25/06/2024,TABLEAU,1,CHAINE PANDORE,29.4,PANDORA,13.2.1.1,Bijoux et montres
10157107_01,05/08/2024,19/05/2024,TABLEAU,9,CHAIR A SAUCISSE,9.8,INTERNET,01.1.2.5.1,"Saucisses et produits similaires de viande, abats ou sang"
10157156_02,22/08/2024,06/06/2024,TABLEAU,2,CHAIR A SAUCISSE,4.3,CHARCUTERIE,01.1.2.5.1,"Saucisses et produits similaires de viande, abats ou sang"
10157141_01,10/09/2024,23/06/2024,TABLEAU,1,CHAISE DE BUREAU,76.4,AMAZON,05.1.1.1,Meubles de maison (D)
10157033_01,05/09/2024,16/06/2024,TABLEAU,3,CHAISE TABLE EXTERIEUR,123,CORA,05.1.1.2,Meubles de jardin et de camping (D)
10157371_01,06/09/2024,22/06/2024,TABLEAU,5,CHAMPAGNE,50,LIBRE SERVICE,02.1.2.1,Vin de raisin (ND)
10157171_01,05/08/2024,25/05/2024,TABLEAU,2,CHAMPAGNE,28.2,NICOLAS,02.1.2.1,Vin de raisin (ND)
10157260_01,03/09/2024,12/06/2024,TABLEAU,2,CHAMPAGNE,19.9,MONOPRIX,02.1.2.1,Vin de raisin (ND)
10158864_01,22/08/2024,27/04/2024,TABLEAU,1,CHAMPAGNE - PARTICIPATION CADEAU DEPART,10,NICOLAS,02.1.2.1,Vin de raisin (ND)
10156765_01,03/09/2024,19/06/2024,TABLEAU,2,CHAMPAGNE (120 EN CADEAU),240,VIGNERON,02.1.2.1,Vin de raisin (ND)
10157107_01,05/08/2024,19/05/2024,TABLEAU,5,CHAMPIGNONS,3.5,INTERNET,01.1.7.4.5,"Champignons et truffes, frais ou réfrigérés"
10157590_01,19/08/2024,31/05/2024,TABLEAU,2,CHAMPLAT PIN,2.9,CASTORAMA,04.3.1.1.3,Articles en bois
10157020_03,02/08/2024,25/05/2024,TABLEAU,1,CHANGEMENT PEDALIER VELO,160,ARTISAN - MECANICIEN,07.2.3.0,Entretien et réparation de matériel de transport personnel (S)
10158782_01,20/08/2024,28/05/2024,TABLEAU,10,CHAOURCE (FROMAGE),,COLRUYT,01.1.4.5.0,Fromage
10156840_01,12/09/2024,//,TABLEAU,1,CHAPEAU DE LISSE DE CLOTURE,28.5,BRICOMAN,05.5.2.2,Accessoires divers (SD)
10158140_01,09/10/2024,07/06/2024,TABLEAU,3,CHARBON BOIS,,EAU,04.5.4.1,Charbon briquettes de charbon et tourbe (ND)
10156991_01,13/08/2024,01/06/2024,TABLEAU,3,CHARCUTERIE,29.8,BOUCHERIE MOUTHON,01.1.2.3,"Viande, séchée, salée, en saumure ou fumée (ND)"
10157013_01,04/09/2024,20/06/2024,TABLEAU,4,CHARCUTERIE,12.4,BOUCHERIE FISCHER-KIENTZI ERSTI,01.1.2.3,"Viande, séchée, salée, en saumure ou fumée (ND)"
10156860_01,23/08/2024,21/05/2024,TABLEAU,3,CHARCUTERIE,11.1,MARCHE,01.1.2.3,"Viande, séchée, salée, en saumure ou fumée (ND)"
10156860_01,23/08/2024,21/05/2024,TABLEAU,2,CHARCUTERIE,10.3,MARCHE,01.1.2.3,"Viande, séchée, salée, en saumure ou fumée (ND)"
10157118_01,05/09/2024,08/06/2024,TABLEAU,2,CHARCUTERIE VIANDES SALAISONS,54,MAGASIN INDEPENDANT,01.1.2.3,"Viande, séchée, salée, en saumure ou fumée (ND)"
10157118_01,05/09/2024,08/06/2024,TABLEAU,7,CHARCUTERIE VIANDES SALAISONS,49.1,ENSEIGNE COOPERATIVE,01.1.2.3,"Viande, séchée, salée, en saumure ou fumée (ND)"
10157697_01,27/08/2024,16/06/2024,TABLEAU,3,CHARCUTIER,19.4,MARCHE,01.1.2.3,"Viande, séchée, salée, en saumure ou fumée (ND)"
10157951_01,29/08/2024,22/05/2024,TABLEAU,1,CHARGE MAP CHARGE ELECTRIQUE VOITURE,1.9,BORNE DE RUE,07.2.2.3,Autres carburants pour matériel de transport personnel (ND)
10158463_01,10/09/2024,12/06/2024,TABLEAU,5,CHARGE TRIMESTRIELLE APPARTEMENT,723.5,INTERNET,04.4.4.1,Frais d'entretien dans les immeubles à plusieurs logements (S)
10156797_01,19/08/2024,29/05/2024,TABLEAU,1,CHARGEMENT APP STORE,176,APP STORE,09.4.3.1,Location de logiciels de jeux et abonnement à des jeux en ligne (S)
10157315_01,10/09/2024,23/06/2024,TABLEAU,1,CHARGES APPARTEMENT,664.5,SYNDIC,04.4.4.1,Frais d'entretien dans les immeubles à plusieurs logements (S)
10156989_02,26/08/2024,07/06/2024,TABLEAU,1,CHARGEUR ORDINATEUR,18.9,AMAZON,08.1.9.2,Autres accessoires d'information et de communication (SD)
10157062_02,05/08/2024,07/06/2024,TABLEAU,1,CHARGEUR QI,27.9,AMAZON,08.1.3.2.1,Équipements périphériques
10157954_01,11/09/2024,06/06/2024,TABLEAU,2,CHARGEUR TELEPHONE,15.9,AMAZON,08.1.9.2,Autres accessoires d'information et de communication (SD)
10156782_01,11/09/2024,26/06/2024,TABLEAU,2,CHAT,3,LECLERC,98.4,Illisible ou indéterminé
10156782_01,11/09/2024,22/06/2024,TABLEAU,2,CHAT,1,CARREFOUR CONTACT,98.4,Illisible ou indéterminé
10156667_01,30/08/2024,29/06/2024,TABLEAU,2,CHAUSETTES,18,MAGASIN SPORT,03.1.2,Vêtements (SD)
10157631_01,12/09/2024,24/06/2024,TABLEAU,1,CHAUSSETTES,15,ERAM,03.1.2,Vêtements (SD)
10158775_02,20/08/2024,04/06/2024,TABLEAU,2,CHAUSSETTES,10.8,AUCHAN,03.1.2,Vêtements (SD)
10156836_01,11/09/2024,04/07/2024,TABLEAU,2,CHAUSSETTES,6,DECATHLON,03.1.2,Vêtements (SD)
10158198_01,06/08/2024,30/05/2024,TABLEAU,1,CHAUSSETTES,6,DECATHLON,03.1.2,Vêtements (SD)
10156989_01,26/08/2024,03/06/2024,TABLEAU,4,CHAUSSETTES ENFANT,5,LA HALLE AUX VETEMENTS,03.1.2.1,Vêtements pour hommes ou garçons (SD)
10157866_01,21/08/2024,30/05/2024,TABLEAU,1,CHAUSSETTES HOMME,9.9,ACTION,03.1.2.1,Vêtements pour hommes ou garçons (SD)
10157590_01,19/08/2024,31/05/2024,TABLEAU,4,CHAUSSETTES HOMME,7,GEMO,03.1.2.1,Vêtements pour hommes ou garçons (SD)
10157567_01,06/09/2024,15/06/2024,TABLEAU,2,CHAUSSON FEMME,12,CHAUSSEA,03.2.1.2,Chaussures pour femmes (SD)
10158619_01,10/09/2024,12/06/2024,TABLEAU,3,CHAUSSURE,88,CHAUSSEUR,03.2.1,Chaussures diverses (SD)
10156788_01,16/08/2024,25/05/2024,TABLEAU,2,CHAUSSURE,84,SPORT POURSUIT INTERNET,03.2.1,Chaussures diverses (SD)
10157990_01,11/09/2024,27/06/2024,TABLEAU,1,CHAUSSURE,29,AMAZONE,03.2.1,Chaussures diverses (SD)
10157181_02,05/08/2024,18/05/2024,TABLEAU,1,CHAUSSURE,19.9,MAJARIN LOCAL,03.2.1,Chaussures diverses (SD)
10158574_02,09/09/2024,26/06/2024,TABLEAU,1,CHAUSSURE + VETEMENTS,441.1,MARQUE AVENUE,03.2.1,Chaussures diverses (SD)
10158534_01,07/08/2024,23/05/2024,TABLEAU,1,CHAUSSURE BEBE,3,MARCHE,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157723_02,27/08/2024,02/06/2024,TABLEAU,1,CHAUSSURE DE SPORT,27.1,VINTEO,09.2.2.1,Équipement de sport (SD)
10158115_01,09/10/2024,//,TABLEAU,3,CHAUSSURE ENFANT,69,HUGO & LEA,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10158599_01,10/09/2024,16/06/2024,TABLEAU,1,CHAUSSURE ENFANT,54,ETRANGER,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157141_01,10/09/2024,23/06/2024,TABLEAU,4,CHAUSSURE ENFANT,39,PETITS PAS DE GEANT,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157197_01,05/08/2024,27/05/2024,TABLEAU,4,CHAUSSURE ENFANT,23,CHAUSSE A ROSE,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157199_01,27/08/2024,06/06/2024,TABLEAU,4,CHAUSSURE ENFANTS,74.9,CHAUSSEA,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10156674_01,02/09/2024,25/06/2024,TABLEAU,1,CHAUSSURE SPORT,113.6,I-REEN MAGASIN SPECIALISE,09.2.2.1,Équipement de sport (SD)
10157210_03,12/09/2024,28/06/2024,TABLEAU,1,CHAUSSURES,139.9,FOOT LOCKER,03.2.1,Chaussures diverses (SD)
10156890_01,14/08/2024,01/06/2024,TABLEAU,6,CHAUSSURES,120,NEW BALANCE,03.2.1,Chaussures diverses (SD)
10158078_01,09/10/2024,24/06/2024,TABLEAU,2,CHAUSSURES,105,ERAM,03.2.1,Chaussures diverses (SD)
10158797_01,22/08/2024,03/06/2024,TABLEAU,7,CHAUSSURES,99,UNIVA,03.2.1,Chaussures diverses (SD)
10156890_01,14/08/2024,01/06/2024,TABLEAU,7,CHAUSSURES,70,CONVERSE,03.2.1,Chaussures diverses (SD)
10158727_01,28/08/2024,//,TABLEAU,4,CHAUSSURES,60,ZALANDO PRIVE,03.2.1,Chaussures diverses (SD)
10158771_01,20/08/2024,01/06/2024,TABLEAU,1,CHAUSSURES,54.9,BESSON,03.2.1,Chaussures diverses (SD)
10158003_01,09/10/2024,05/07/2024,TABLEAU,1,CHAUSSURES,35,CHAUSSEA,03.2.1,Chaussures diverses (SD)
10156875_01,07/10/2024,28/06/2024,TABLEAU,1,CHAUSSURES,30.9,CHAUSSEA,03.2.1,Chaussures diverses (SD)
10156833_01,11/09/2024,06/06/2024,TABLEAU,2,CHAUSSURES,26.9,CHAUSSEA,03.2.1,Chaussures diverses (SD)
10156804_01,19/08/2024,31/05/2024,TABLEAU,1,CHAUSSURES,24.9,CHAUSSEA,03.2.1,Chaussures diverses (SD)
10157614_02,12/09/2024,01/07/2024,TABLEAU,2,CHAUSSURES,19.9,CHAUSSEA,03.2.1,Chaussures diverses (SD)
10157033_01,05/09/2024,19/06/2024,TABLEAU,1,CHAUSSURES ENFANT,52,CHAUSSEA,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10156924_02,08/10/2024,22/06/2024,TABLEAU,1,CHAUSSURES ENFANT,29.9,PRONTI (MAGASIN CHAUSSURES),03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157793_01,06/09/2024,12/06/2024,TABLEAU,2,CHAUSSURES ENFANT,16.9,VINTED,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157793_01,06/09/2024,12/06/2024,TABLEAU,1,CHAUSSURES ENFANT,12.1,VINTED,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10156996_01,27/08/2024,18/05/2024,TABLEAU,4,CHAUSSURES ENFANT LOU,32.2,INTERSPORT,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157934_01,11/09/2024,26/06/2024,TABLEAU,5,CHAUSSURES ETE FILLE 1,44.9,CHAUSSEA,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10157934_01,11/09/2024,26/06/2024,TABLEAU,6,CHAUSSURES ETE FILLE 2,24.9,CHAUSSEA,03.2.1.3,Chaussures pour nourrissons et enfants (SD)
10156924_02,08/10/2024,24/06/2024,TABLEAU,2,CHAUSSURES FEMME,51.9,CHAUSSEA,03.2.1.2,Chaussures pour femmes (SD)
10157110_01,10/09/2024,15/06/2024,TABLEAU,1,CHAUSSURES NOOR,12,CHAUSSEA,03.2.1,Chaussures diverses (SD)
10157869_01,09/09/2024,22/06/2024,TABLEAU,2,CHAUSSURES POUR MALIK,25,CHAUSSEA,03.2.1,Chaussures diverses (SD)
10157421_01,06/09/2024,30/05/2024,TABLEAU,3,CHAUSSURES SPORT,105.9,GEDIMAT,09.2.2.1,Équipement de sport (SD)
10156997_01,12/08/2024,18/05/2024,TABLEAU,2,CHEMISE,70,PRET A PORTER,03.1.2,Vêtements (SD)
10157306_01,22/08/2024,10/06/2024,TABLEAU,1,CHEMISE + CHAUSSETTES,11,PRIMARK,03.1.2,Vêtements (SD)
10158231_01,09/10/2024,22/06/2024,TABLEAU,1,CHEQUE,15,//,98.2,Divers
10156923_01,26/08/2024,11/06/2024,TABLEAU,3,CHEQUE AVANCE VACANCE ENFANT,200,VACANCE,09.8.0.0,Forfaits vacances (S)
10156762_01,03/09/2024,27/06/2024,TABLEAU,3,CHEQUE CROQUETTES,68,DAVY CROQUETTES (JACQUOT CROQUETTES),09.3.2.2,Produits pour animaux de compagnie et autres animaux domestiques (ND)
10157151_01,22/08/2024,11/06/2024,TABLEAU,2,CHEQUE N� 3682001,55,//,98.4,Illisible ou indéterminé
10157151_01,22/08/2024,07/06/2024,TABLEAU,6,CHEQUE N� 3682007,139.3,//,98.4,Illisible ou indéterminé
10156503_01,29/08/2024,14/06/2024,TABLEAU,30,CHEWING GUM 1P,1.4,//,01.1.8.9,Autres sucreries et desserts nca (ND)
10157122_01,25/07/2024,29/05/2024,TABLEAU,1,CHILI,6.4,G20,01.1.9.1.3,Salades composées et plats préparés à base de légumes
10157026_01,02/09/2024,15/06/2024,TABLEAU,2,CHINOIS,6,BOULANGERIE MATCH,01.1.1.3.9.2,Viennoiserie
10156729_01,12/08/2024,19/05/2024,TABLEAU,5,CHIPIRONS BASQ,8.8,POISSONERIE,01.1.3.4.4,"Céphalopodes, vivants, frais, réfrigérés ou congelés"
10156503_01,29/08/2024,14/06/2024,TABLEAU,18,CHIPS,1,//,01.1.7.9.4.2,Chips
10158269_01,28/08/2024,13/06/2024,TABLEAU,2,CHIPS TUILES PRINGLES,1.9,MARKET,01.1.7.9.4.2,Chips
10156805_01,16/08/2024,25/05/2024,TABLEAU,2,CHLOE PISCINE,66,IRRIJARDIN,09.4.6.2,Prestations sportives - practice (S)
10157685_01,06/09/2024,26/06/2024,TABLEAU,2,CHOCATINE,1.1,BOULANGERIE,01.1.1.3.9.2,Viennoiserie
10158141_01,09/10/2024,17/06/2024,TABLEAU,2,CHOCO NUSSA,4.2,LIDL,01.1.8.5,"Chocolat, cacao et produits alimentaires à base de cacao (ND)"
10157951_01,29/08/2024,25/05/2024,TABLEAU,1,CHOCOLAT,37.5,LINDT,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10156988_01,04/09/2024,13/06/2024,TABLEAU,1,CHOCOLAT,35,CHOCOLATERIE PUYODEBAT,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158322_01,09/09/2024,25/06/2024,TABLEAU,2,CHOCOLAT,21,JEFF DE BRUGES,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158574_02,09/09/2024,15/06/2024,TABLEAU,1,CHOCOLAT,12.2,JEFF DE BRUGE,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10156868_02,08/10/2024,25/06/2024,TABLEAU,2,CHOCOLAT,6.4,JEFF DE BRUGES,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158775_01,20/08/2024,01/06/2024,TABLEAU,7,CHOCOLAT,4.8,LECLERC,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10157009_01,03/09/2024,12/06/2024,TABLEAU,2,CHOCOLAT,3.7,BIOCOOP,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10157721_01,27/08/2024,07/06/2024,TABLEAU,3,CHOCOLAT,1.6,SUPERETTE,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158782_01,20/08/2024,24/05/2024,TABLEAU,23,CHOCOLAT,0.8,LIDL,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10157205_02,05/08/2024,25/05/2024,TABLEAU,2,CHOCOLAT (CADEAU),32,RANOU METIVIER,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10157685_01,06/09/2024,28/06/2024,TABLEAU,2,CHOCOLATINE,1.1,BOULANGERIE,01.1.1.3.9.2,Viennoiserie
10156719_01,12/08/2024,01/06/2024,TABLEAU,1,CHOCOLATINES,4.8,BOULANGERIE PROXIMITE,01.1.1.3.9.2,Viennoiserie
10156615_01,04/09/2024,//,TABLEAU,2,CHOCOLATS,52.3,JEFF DE BRUGES,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158376_01,04/09/2024,22/06/2024,TABLEAU,2,CHOCOLATS,12.2,CHOCOLATS JEFF DE BRUGES,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158024_01,16/08/2024,26/05/2024,TABLEAU,2,CHOCOLATS,10,LEONIDAS BELGIQUE,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158864_01,22/08/2024,30/05/2024,TABLEAU,6,CHOCOLATS - CADEAU,35,DUCASSE,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10157029_01,03/09/2024,31/05/2024,TABLEAU,1,CHOCOLATS (RAFAELLO),5.5,MONOPRIX,01.1.8.5.1,"Chocolat, y compris le chocolat blanc"
10158742_01,09/08/2024,28/05/2024,TABLEAU,1,CHOCOS,1.1,SUPER U,01.1.1.4.0,Céréales pour petit déjeuner
10156532_01,22/08/2024,//,TABLEAU,12,CHOU,3,//,01.1.7.1.2,"Choux, frais ou réfrigérés"
10157336_01,05/09/2024,14/06/2024,TABLEAU,13,CHOU 2U,4,BOUTIQUE (EPICERIE),01.1.7.1.2,"Choux, frais ou réfrigérés"
10158565_01,02/08/2024,01/06/2024,TABLEAU,13,CHOUQUETTE,1.1,AUCHAN,01.1.1.3.9.2,Viennoiserie
10157335_01,05/09/2024,25/06/2024,TABLEAU,5,CHOUX X 1CH,3,PRIMEUR,01.1.7.1.2,"Choux, frais ou réfrigérés"
10157336_01,05/09/2024,14/06/2024,TABLEAU,2,CHRISTOPHINE 1KG,4,MARCHE,01.1.7.2.5,"Citrouilles, courges et potirons, frais ou réfrigérés"
10156836_01,11/09/2024,02/07/2024,TABLEAU,3,CICATRISANT ARBRES,22,QUINCAILLERIE,04.3.1.1.2,"Articles de quincaillerie, fourniture pour bricolage autres qu’en bois"
10158351_02,07/08/2024,03/06/2024,TABLEAU,2,CIDRE,17,PRODUCTEUR,02.1.2.2,Vin d'autres sources (ND)
10157514_01,06/09/2024,//,TABLEAU,5,CIGARETTE,60,//,02.3.0.1,Cigarettes (ND)
10158561_01,02/08/2024,25/05/2024,TABLEAU,1,CIGARETTE,37,TABAC,02.3.0.1,Cigarettes (ND)
10158561_01,02/08/2024,30/05/2024,TABLEAU,1,CIGARETTE,37,TABAC,02.3.0.1,Cigarettes (ND)
10157147_01,05/09/2024,19/06/2024,TABLEAU,2,CIGARETTE,30.1,TABAC,02.3.0.1,Cigarettes (ND)
10156913_02,08/10/2024,18/06/2024,TABLEAU,1,CIGARETTE,25,TABAC,02.3.0.1,Cigarettes (ND)
10158303_01,13/08/2024,26/05/2024,TABLEAU,1,CIGARETTE,25,TABAC,02.3.0.1,Cigarettes (ND)
10157044_01,03/09/2024,11/06/2024,TABLEAU,3,CIGARETTE,13.5,TABAC,02.3.0.1,Cigarettes (ND)
10156968_01,26/08/2024,11/06/2024,TABLEAU,2,CIGARETTE,12.5,CAFE TABAC,02.3.0.1,Cigarettes (ND)
10156968_01,26/08/2024,12/06/2024,TABLEAU,3,CIGARETTE,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10157151_01,22/08/2024,10/06/2024,TABLEAU,3,CIGARETTE,12,TABAC,02.3.0.1,Cigarettes (ND)
10157943_01,11/09/2024,19/06/2024,TABLEAU,1,CIGARETTE,12,BUREAU TABAC,02.3.0.1,Cigarettes (ND)
10157359_01,05/09/2024,09/06/2024,TABLEAU,2,CIGARETTE,11.6,TABAC,02.3.0.1,Cigarettes (ND)
10157044_01,03/09/2024,06/06/2024,TABLEAU,2,CIGARETTE,11,ILLISIBLE,02.3.0.1,Cigarettes (ND)
10157359_02,05/09/2024,17/06/2024,TABLEAU,1,CIGARETTE CAMEL,4.9,TABAC LA CIVETTE,02.3.0.1,Cigarettes (ND)
10158066_01,09/10/2024,17/06/2024,TABLEAU,1,CIGARETTES,149.5,//,02.3.0.1,Cigarettes (ND)
10157685_01,06/09/2024,29/06/2024,TABLEAU,5,CIGARETTES,132.5,TABAC,02.3.0.1,Cigarettes (ND)
10157028_02,03/09/2024,15/06/2024,TABLEAU,1,CIGARETTES,91.2,ETRANGER,02.3.0.1,Cigarettes (ND)
10158563_01,02/08/2024,29/05/2024,TABLEAU,2,CIGARETTES,84,TABAC,02.3.0.1,Cigarettes (ND)
10157000_01,26/08/2024,08/06/2024,TABLEAU,1,CIGARETTES,80,TABAC,02.3.0.1,Cigarettes (ND)
10156899_01,16/08/2024,25/05/2024,TABLEAU,1,CIGARETTES,77,TABAC,02.3.0.1,Cigarettes (ND)
10157561_01,06/09/2024,13/06/2024,TABLEAU,1,CIGARETTES,75,TABAC,02.3.0.1,Cigarettes (ND)
10156619_01,11/09/2024,25/06/2024,TABLEAU,2,CIGARETTES,59.5,LE BUREAU DE TABAC,02.3.0.1,Cigarettes (ND)
10158559_01,10/09/2024,19/06/2024,TABLEAU,1,CIGARETTES,36,TABAC,02.3.0.1,Cigarettes (ND)
10157757_02,13/08/2024,29/05/2024,TABLEAU,1,CIGARETTES,30,SUPERETTE VIVAL,02.3.0.1,Cigarettes (ND)
10156697_02,23/08/2024,06/06/2024,TABLEAU,1,CIGARETTES,28.6,MAISON DE LA PRESSE,02.3.0.1,Cigarettes (ND)
10158727_01,28/08/2024,//,TABLEAU,5,CIGARETTES,27,TABAC,02.3.0.1,Cigarettes (ND)
10156744_01,04/09/2024,31/05/2024,TABLEAU,3,CIGARETTES,24.6,TABAC,02.3.0.1,Cigarettes (ND)
10156744_01,04/09/2024,03/06/2024,TABLEAU,1,CIGARETTES,24.6,TABAC,02.3.0.1,Cigarettes (ND)
10157205_02,05/08/2024,27/05/2024,TABLEAU,1,CIGARETTES,24,TABAC JOURNAUX,02.3.0.1,Cigarettes (ND)
10158559_01,10/09/2024,24/06/2024,TABLEAU,1,CIGARETTES,24,TABAC,02.3.0.1,Cigarettes (ND)
10156744_01,04/09/2024,05/06/2024,TABLEAU,1,CIGARETTES,23.3,TABAC,02.3.0.1,Cigarettes (ND)
10156744_01,04/09/2024,//,TABLEAU,10,CIGARETTES,22.9,TABAC,02.3.0.1,Cigarettes (ND)
10156744_01,04/09/2024,06/06/2024,TABLEAU,3,CIGARETTES,22.9,TABAC,02.3.0.1,Cigarettes (ND)
10156515_01,22/08/2024,03/06/2024,TABLEAU,7,CIGARETTES,19.1,TOTAL,02.3.0.1,Cigarettes (ND)
10156515_01,22/08/2024,04/06/2024,TABLEAU,5,CIGARETTES,19.1,VITO,02.3.0.1,Cigarettes (ND)
10156515_01,22/08/2024,05/06/2024,TABLEAU,7,CIGARETTES,19.1,STATION TOTAL,02.3.0.1,Cigarettes (ND)
10158547_01,26/08/2024,31/05/2024,TABLEAU,1,CIGARETTES,18,//,02.3.0.1,Cigarettes (ND)
10158547_01,26/08/2024,03/06/2024,TABLEAU,3,CIGARETTES,18,//,02.3.0.1,Cigarettes (ND)
10158547_01,26/08/2024,05/06/2024,TABLEAU,1,CIGARETTES,18,//,02.3.0.1,Cigarettes (ND)
10157638_01,07/10/2024,17/06/2024,TABLEAU,1,CIGARETTES,17,BUREAU DE TABAC,02.3.0.1,Cigarettes (ND)
10157685_01,06/09/2024,28/06/2024,TABLEAU,1,CIGARETTES,16,TABAC,02.3.0.1,Cigarettes (ND)
10158023_01,16/08/2024,31/05/2024,TABLEAU,3,CIGARETTES,16,DEBIT TABAC,02.3.0.1,Cigarettes (ND)
10156971_01,26/08/2024,11/06/2024,TABLEAU,1,CIGARETTES,12.8,RELAY,02.3.0.1,Cigarettes (ND)
10156971_01,26/08/2024,14/06/2024,TABLEAU,1,CIGARETTES,12.8,RELAY,02.3.0.1,Cigarettes (ND)
10156968_01,26/08/2024,13/06/2024,TABLEAU,2,CIGARETTES,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10156968_01,26/08/2024,14/06/2024,TABLEAU,2,CIGARETTES,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10156968_01,26/08/2024,15/06/2024,TABLEAU,2,CIGARETTES,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10156968_01,26/08/2024,16/06/2024,TABLEAU,2,CIGARETTES,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10156968_01,26/08/2024,17/06/2024,TABLEAU,1,CIGARETTES,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10157244_01,06/09/2024,26/06/2024,TABLEAU,1,CIGARETTES,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10157244_01,06/09/2024,29/06/2024,TABLEAU,3,CIGARETTES,12.5,TABAC,02.3.0.1,Cigarettes (ND)
10157205_01,05/08/2024,25/05/2024,TABLEAU,2,CIGARETTES,12,TABAC,02.3.0.1,Cigarettes (ND)
10157205_01,05/08/2024,27/05/2024,TABLEAU,2,CIGARETTES,12,TABAC,02.3.0.1,Cigarettes (ND)
10157205_01,05/08/2024,31/05/2024,TABLEAU,1,CIGARETTES,12,TABAC,02.3.0.1,Cigarettes (ND)
10157619_01,23/08/2024,26/05/2024,TABLEAU,1,CIGARETTES,12,TABAC,02.3.0.1,Cigarettes (ND)
10157685_01,06/09/2024,27/06/2024,TABLEAU,1,CIGARETTES,12,EPICERIE TABAC,02.3.0.1,Cigarettes (ND)
10158717_01,10/09/2024,28/05/2024,TABLEAU,2,CIGARETTES,12,TABAC,02.3.0.1,Cigarettes (ND)
10158717_01,10/09/2024,30/05/2024,TABLEAU,1,CIGARETTES,12,BUREAU DE TABAC,02.3.0.1,Cigarettes (ND)
10158717_01,10/09/2024,02/06/2024,TABLEAU,2,CIGARETTES,12,BUREAU - TABAC,02.3.0.1,Cigarettes (ND)
