product;Montant de la dépense;shop_maj;Libellé coicop;Code coicop;code_mag;Nomen_mag
CITRON 0.250 X 2.50;0.63;LE FRUITIER DE LEE;Citrons et citrons verts, frais;01.1.6.2.2;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
POIRE CUTTIE 0.550 X 4.95;2.72;LE FRUITIER DE LEE;Poires et coings, frais;01.1.6.3.2;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
ABRICOT ROUSS 0.320 X 4.95;1.58;LE FRUITIER DE LEE;Abricots, frais;01.1.6.3.3;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
PECHES B J 0.545 X 5.95;3.24;LE FRUITIER DE LEE;Pêches et nectarines, fraîches;01.1.6.3.5;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
RAISIN NOIR 0.710 X 8.80;6.25;LE FRUITIER DE LEE;Raisins, frais;01.1.6.5.1;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
TOM COEUR 0.845 X 4.50;3.8;LE FRUITIER DE LEE;Tomates, fraîches ou réfrigérées;01.1.7.2.4;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
TOMATE RONDE 0.665 X 2.80;1.86;LE FRUITIER DE LEE;Tomates, fraîches ou réfrigérées;01.1.7.2.4;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
KIWI JAUNE 3 X 0.95;2.85;LE FRUITIER DE LEE;Kiwi, frais;01.1.6.5.2;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
0.195KG GOURMET TRUFFE KILO 54.90;10.71;O DELICES DES EPICURIENS;Champignons et truffes, frais ou réfrigérés;01.1.7.4.5;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
0.205KG TALEGGIO 33.50;6.87;O DELICES DES EPICURIENS;Fromage;01.1.4.5.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
0.170KG SAINT NECTAIRE 29.95;5.09;O DELICES DES EPICURIENS;Fromage;01.1.4.5.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
0.235KG PAVE DE JAMBON DE C 32.95;7.74;O DELICES DES EPICURIENS;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
1 MOZZARELLA BARONIA 15 4.95;4.95;O DELICES DES EPICURIENS;Fromage;01.1.4.5.0;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
1 PAIMPOLAISE LITTLE EN 6.30;6.3;O DELICES DES EPICURIENS;Soupes prêtes à l'emploi;01.1.9.1.6;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
150G CHIP RECET AN;1.24;CONTACT;Légumes, tubercules, plantains, bananes à cuire et légumineuses moulues et autres préparations (ND);01.1.7.9;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
300ML DCHE CEDRE A;2.74;CONTACT;Savons, dentifrices et produits de toilette;13.1.2.0.3;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
300ML DCHE SH MINE;2.74;CONTACT;Savons, dentifrices et produits de toilette;13.1.2.0.3;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
500G FSL RIANS;2.56;CONTACT;Yaourt et produits similaires;01.1.4.6.0;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
80G JAMB SUP DD PS;2.4;CONTACT;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
SACS CAISSE CRF;0.25;CONTACT;Autres biens domestiques non durables (ND);05.6.1.9;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
TOURNEOOS MAGRET.. X;9.9;CONTACT;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;114;Petite surface d'alimentation générale et produits surgelés (commerce d’alimentation générale, magasin de produits surgelés, épicerie sociale…)
BOURGUIGNON;9.57;E.LECLERC;Plats préparés à base de viande et/ou de poisson;01.1.9.1.2;111;Hypermarchés
PATE A PIZZA RECTANGLE 385G 2 X 1.34€;2.68;E.LECLERC;Autres produits de boulangerie;01.1.1.3.9.4;111;Hypermarchés
ALLUMETTES DE JAMBON VPF 2 X 75G 2 X 1.16€;2.32;E.LECLERC;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;111;Hypermarchés
LARDON NATURE SUP VPF 2 X 100G;1.85;E.LECLERC;Viande de porc, coupes, salée, séchée ou fumée (lard et jambon);01.1.2.3.2;111;Hypermarchés
LARDON FUME 2 X 100G VPF;1.85;E.LECLERC;Viande de porc, coupes, salée, séchée ou fumée (lard et jambon);01.1.2.3.2;111;Hypermarchés
JAMBON PARIS SUPERIEUR 4T. 160G 2 X 1.83€;3.66;E.LECLERC;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;111;Hypermarchés
PDT COULO 21% 350G;2.71;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
TRANCHET. GOUDA 30% MG 300G ECO 2 X 2.73€;5.46;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
EMMENTAL RAPE 29.5% MG 500G;3.85;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
MOZZARELLA 17 % MG 125G;0.99;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
CREME LEG FLUID UHT 12 % MG 3 X 20;1.84;E.LECLERC;Crème;01.1.4.3.3;111;Hypermarchés
PROFITEROLES 4 X 90G;2.52;E.LECLERC;Pâtisserie;01.1.1.3.9.1;111;Hypermarchés
OEUFS SOL DJP X 20;4.38;E.LECLERC;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;111;Hypermarchés
FROMAGE BLANC NATURE DELISSE 4;0.98;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
CAROTTE;1.77;E.LECLERC;Carottes et navets, frais ou réfrigérés;01.1.7.4.1;111;Hypermarchés
PDT ECO+ CAT 2 FILET 5KG;4.29;E.LECLERC;Pommes de terre;01.1.7.5.1;111;Hypermarchés
MILLEFEUILLES X 2;4.1;E.LECLERC;Pâtisserie;01.1.1.3.9.1;111;Hypermarchés
DADDY MORCEAUX N 4 PREDEC 1KG;1.99;E.LECLERC;Sucre de canne et de betterave (ND);01.1.8.1;111;Hypermarchés
BISCUITS SESAME 230G GERBLE 3 X 1.41€;4.23;E.LECLERC;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
PAIN DE MIE LC G. TRANCHES 550G;2.17;E.LECLERC;Pain;01.1.1.3.1;111;Hypermarchés
BISCUITS FIGUE SON 210G;1.39;E.LECLERC;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
SACHET 24 MADELEINES EXTRA MOE;3.86;E.LECLERC;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
CONFITURE DE MYRTILLE;2.41;E.LECLERC;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;111;Hypermarchés
CASSOULET 4/4 COTE TABLE;2.19;E.LECLERC;Autres plats cuisinés et repas préparés nca;01.1.9.1.9;111;Hypermarchés
MARBRE CHOCOLAT 300GRS;1.86;E.LECLERC;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
CAKE AUX FRUITS 300G PTIT DELI;1.48;E.LECLERC;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
PAINS HAMBURGER X4 250G EPI OR;0.9;E.LECLERC;Pain;01.1.1.3.1;111;Hypermarchés
BISCOTTES BRIOCHEES 300G 2 X 1.59€;3.18;E.LECLERC;Autres produits de boulangerie;01.1.1.3.9.4;111;Hypermarchés
CHIPS ALLUMETTES SALEES 300G;1.99;E.LECLERC;Chips;01.1.7.9.4.2;111;Hypermarchés
HARICOTS BEURE 570GR;1.1;E.LECLERC;Légumes en conserve;01.1.7.9.2;111;Hypermarchés
EAU SOURCE LAQUEUILLE 6 X 1.5L 2 X 1.62€;3.24;E.LECLERC;Eau;01.2.5.0.0;111;Hypermarchés
ELEMBAL SACS CONGEL.G.M. X 25 MR;1.4;E.LECLERC;Autres biens domestiques non durables (ND);05.6.1.9;111;Hypermarchés
SACS POUBEL ENVIRON 50L X 15 MR;2.19;E.LECLERC;Autres biens domestiques non durables (ND);05.6.1.9;111;Hypermarchés
PH HUMIDE SENSITIVE X 50 MIMOSA;1.24;E.LECLERC;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;111;Hypermarchés
PH BLANC 2 PLIS 6 = 12 MIMOSA;2.95;E.LECLERC;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;111;Hypermarchés
EAU MICELL PEELIN, GARNIER, 400ML;4.72;E.LECLERC;Produits de maquillage et de soin de la peau;13.1.2.0.2;111;Hypermarchés
ALWS PROT. SLIP EXTRA LONG+ X 24;1.98;E.LECLERC;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;111;Hypermarchés
ESCALOPES DE PORC CAISSETTE;5.29;E.LECLERC;Viande de porc, fraîche, réfrigérée ou congelée;01.1.2.2.2;111;Hypermarchés
PATE A PIZZA RECTANGLE 385G;1.34;E.LECLERC;Autres produits de boulangerie;01.1.1.3.9.4;111;Hypermarchés
JAMBON PARIS SUPERIEUR 4T. 160G;1.83;E.LECLERC;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;111;Hypermarchés
FLANBY VANILLE CARAMEL 12 X 100G;2.59;E.LECLERC;Dessert et boissons à base de lait;01.1.4.7.0;111;Hypermarchés
TRANCHET. GOUDA 30 % MG 300G ECO;2.73;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
TR. CHEDDAR POUR HAMBURGER 200G;1.3;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
TIRAMISU CAFE 4 X 80G;2.51;E.LECLERC;Desserts et boissons à base de lait;01.1.4.7.0;111;Hypermarchés
CREME LEG FLUID UHT 12 % MG 3 X 20;1.84;E.LECLERC;Crème;01.1.4.3.3;111;Hypermarchés
PROFITEROLES 4 X 90G;2.52;E.LECLERC;Pâtisserie;01.1.1.3.9.1;111;Hypermarchés
MOZZARELLA GALBANI 125G 2 X 1.14€;2.28;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
PLANTA FIN DX 100% VEGETAL SHD;2.7;E.LECLERC;Margarine et préparations similaires (ND);01.1.5.3;111;Hypermarchés
POIVRON ROUGE;0.92;E.LECLERC;Piments et poivrons, frais ou réfrigérés;01.1.7.2.1;111;Hypermarchés
BANANE;1.02;E.LECLERC;Bananes, fraîches;01.1.6.1.2;111;Hypermarchés
POMME FUJI;2.74;E.LECLERC;Pommes, fraîches;01.1.6.3.1;111;Hypermarchés
COURGETTE ECO+ CAT-2 - FILET 1K;1.59;E.LECLERC;Citrouilles, courges et potirons, frais ou réfrigérés;01.1.7.2.5;111;Hypermarchés
SALADE BATAVIA BLONDE;0.99;E.LECLERC;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;111;Hypermarchés
CUISSE DINDE LOUE S/ATM X 1;5.25;E.LECLERC;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;111;Hypermarchés
PATES TAGLIATELLE 500G;1.58;E.LECLERC;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;111;Hypermarchés
PZ GRAND TOMACO NAT 500 PAV;1.05;E.LECLERC;Illisible ou indéterminé;98.4;111;Hypermarchés
OLIVES NOIRES DENOYAUTEES 1/2;1.46;E.LECLERC;Conserves d'olives;01.1.7.9.3;111;Hypermarchés
CONFITURE D'ABRICOT;2.2;E.LECLERC;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;111;Hypermarchés
SPAGHETTI TURINI 500G;0.79;E.LECLERC;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;111;Hypermarchés
PAINS HAMBURGER X 4 250G EPI OR;0.9;E.LECLERC;Pain;01.1.1.3.1;111;Hypermarchés
SAUCE BURGER FL SOUPLE 255G;1.22;E.LECLERC;Autres sauces et condiments;01.1.9.3.9;111;Hypermarchés
PUR JUS CITRON SICILE BV;1.2;E.LECLERC;Jus de fruits et de légumes (ND);01.2.1.0.0;111;Hypermarchés
AMORA KET + TOMAT TD 468G;2.1;E.LECLERC;Autres sauces et condiments;01.1.9.3.9;111;Hypermarchés
EAU SOURCE LAQUEUILLE 6 X 1.5L 2 X 1.62€;3.24;E.LECLERC;Eau;01.2.5.0.0;111;Hypermarchés
LIQ VAISS CITRON 750ML MR;1.27;E.LECLERC;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;111;Hypermarchés
LING ANTIDECOLOR X 25 TEXIL;2.34;E.LECLERC;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;111;Hypermarchés
GEL LIQ LV VAISS 1.5L VISIOR;4.75;E.LECLERC;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;111;Hypermarchés
ADOU CONC FRAICHEUR 1.95L 75LA;3.94;E.LECLERC;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;111;Hypermarchés
LESSIVE LIQ FRAICHEUR 40LAV 2L;4.32;E.LECLERC;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;111;Hypermarchés
RECH. POMP. AMANDE, ECO+, 750ML;1.15;E.LECLERC;Savons, dentifrices et produits de toilette;13.1.2.0.3;111;Hypermarchés
PH HUMIDE SENSITIVE X 50 MIMOSA 2 X 1.24€;2.48;E.LECLERC;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;111;Hypermarchés
BANDEAU PLAT LOT DE 2;4;E.LECLERC;Autres appareils, articles et produits pour soins corporels n.c.a.;13.1.2.0.6;111;Hypermarchés
BON IMMEDIAT;-0.72;E.LECLERC;Autres appareils, articles et produits pour soins corporels n.c.a.;13.1.2.0.6;111;Hypermarchés
COTE DE PORC ECHINE X 5 1.041 X 7.95€;8.28;L'ATELIER BOUCHERIE;Viande de porc, fraîche, réfrigérée ou congelée;01.1.2.2.2;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
TOULOUSE CAMPAGNARD 0.606KG;9.35;L'ATELIER BOUCHERIE;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
VIANDE BOVINE BIFTE;7.24;L'ATELIER BOUCHERIE;Viande de bovins fraîche réfrigérée ou congelée;01.1.2.2.1;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
CUISSE DE POULET CAISSETTE 1.269 X 4.20€;5.33;L'ATELIER BOUCHERIE;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;129;Autres commerces détail à prédominance alimentaire en magasin spécialisé ( boucherie, poissonnerie, fromagerie, caviste, épicerie fine…)
LAVAGE VEHICULE GO+;30;TOTALENERGIES;Entretien de véhicules particuliers;07.2.3.0.1;235;Petite surface spécialisée dans la vente de carburant (station-service)
ST ELOI FRITES AU FO;1.49;INTERMARCHE;Pommes de terre transformées, hors chips;01.1.7.9.4.1;112;Supermarchés, magasins multi-commerces
ST ELOI FRITES AU FO;1.49;INTERMARCHE;Pommes de terre transformées, hors chips;01.1.7.9.4.1;112;Supermarchés, magasins multi-commerces
PAGE INFUSION BIO B;3.2;INTERMARCHE;Thé maté et autres produits végétaux pour infusion (ND);01.2.3.0;112;Supermarchés, magasins multi-commerces
CHOCOLATINES ORDI X;3.4;INTERMARCHE;Viennoiserie;01.1.1.3.9.2;112;Supermarchés, magasins multi-commerces
SAUCE FRANCESINHA;3.45;INTERMARCHE;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
CACAROLA RZ EXTRA LG;2.25;INTERMARCHE;Riz;01.1.1.1.2;112;Supermarchés, magasins multi-commerces
CACAROLA RIZ EXTRA E;2.15;INTERMARCHE;Riz;01.1.1.1.2;112;Supermarchés, magasins multi-commerces
SENSODYNE FRAIC INTE;4.37;INTERMARCHE;Savons, dentifrices et produits de toilette;13.1.2.0.3;112;Supermarchés, magasins multi-commerces
CONCOMBRE PIECE 2 X 0.95EUR;1.9;INTERMARCHE;Concombres et cornichons, frais ou réfrigérés;01.1.7.2.2;112;Supermarchés, magasins multi-commerces
TOMATE RONDE EN GRAP;1.28;INTERMARCHE;Tomates, fraîches ou réfrigérées;01.1.7.2.4;112;Supermarchés, magasins multi-commerces
TALON DE JAMBON SEC;2.27;INTERMARCHE;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;112;Supermarchés, magasins multi-commerces
BOUILLIE BORD NON CO;13.8;BRICOMARCHE;Produits de jardinage (ND);09.3.1.1;222;Grande surface spécialisée dans l’équipement de la maison
LAIT DELACTOSE 1.25 X 1;1.25;LIDL;Lait écrémé;01.1.4.2.0;113;Magasins maxi-discompte
SYLVANUS BIERE BLOND 4.49 X 1;4.49;LIDL;Bière (ND);02.1.3.0;113;Magasins maxi-discompte
ESSUIE-TOUT 3 PLIS 3.75 X 1;3.75;LIDL;Autres biens domestiques non durables (ND);05.6.1.9;113;Magasins maxi-discompte
PAPIER TOILETTE 12R 2.85 X 1;2.85;LIDL;Articles d’hygiène à base de papier ou de coton;13.1.2.0.5;113;Magasins maxi-discompte
CORNICHONS EXTRA FIN 1.66 X 1;1.66;LIDL;Concombres et cornichons, frais ou réfrigérés;01.1.7.2.2;113;Magasins maxi-discompte
POMME PINK LADY 3.49 X 1;3.49;LIDL;Pommes, fraîches;01.1.6.3.1;113;Magasins maxi-discompte
PETIT BEURRE 1.53 X 1;1.53;LIDL;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
GYOZAS POULET 3.49 X 3;10.47;LIDL;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;113;Magasins maxi-discompte
RIZ BASMATI 2.49 X 1;2.49;LIDL;Riz;01.1.1.1.2;113;Magasins maxi-discompte
PAIN DE MIE GDES TRA 1.58 X 1;1.58;LIDL;Pain;01.1.1.3.1;113;Magasins maxi-discompte
HERTA LEBONPARIS 6T 3.17 X 1;3.17;LIDL;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;113;Magasins maxi-discompte
FM BLANC DE DINDE 6T 2.74 X 1;2.74;LIDL;Viande de volaille, fraîche, réfrigérée ou congelée;01.1.2.2.4;113;Magasins maxi-discompte
GYOSA POULET AUX LEG 2.99 X 1;2.99;LIDL;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;113;Magasins maxi-discompte
CREME UHT 18% 2.11 X 1;2.11;LIDL;Crème;01.1.4.3.3;113;Magasins maxi-discompte
TOMATE GRAPPE 0.546KG X 1.79EUR/KG;0.98;LIDL;Tomates, fraîches ou réfrigérées;01.1.7.2.4;113;Magasins maxi-discompte
POIRE 1KG 1.49 X 1;1.49;LIDL;Poires et coings, frais;01.1.6.3.2;113;Magasins maxi-discompte
BRUSCHETTA PIZZA 1.29 X 1;1.29;LIDL;Sandwichs, pizzas, quiches, tourtes à la viande ou au poisson, surgelés ou non;01.1.9.1.4;113;Magasins maxi-discompte
CITRON VERT FAIRTRAD 1.89 X 1;1.89;LIDL;Citrons et citrons verts, frais;01.1.6.2.2;113;Magasins maxi-discompte
FROMAGE CHEVRE PYRAM 1.42 X 1;1.42;LIDL;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
BLINI TZATZIKI 1.99 X 1;1.99;LIDL;Autres produits de boulangerie;01.1.1.3.9.4;113;Magasins maxi-discompte
GALETTES DE RIZ BIO 1.07 X 2;2.14;LIDL;Autres céréales et produits de minoterie;01.1.1.9.0;113;Magasins maxi-discompte
COOKIES NOUGAT 1.19 X 1;1.19;LIDL;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
BANANE BIO FAIRTRADE 1.380KG X 2.49EUR/KG;3.44;LIDL;Bananes, fraîches;01.1.6.1.2;113;Magasins maxi-discompte
FEUILLE DE CHENE 0.99 X 1;0.99;LIDL;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;113;Magasins maxi-discompte
TAGLIATELLES 1.05 X 1;1.05;LIDL;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;113;Magasins maxi-discompte
SPECIALITE LAITIERE 0.79 X 2;1.58;LIDL;Crème;01.1.4.3.3;113;Magasins maxi-discompte
KELLOGG'S EXTRA LAIT 4.70 X 1;4.7;LIDL;Céréales du petit-déjeuner;01.1.1.4.0;113;Magasins maxi-discompte
BEIGNET CHOCO-NOIS. 0.59 X 2;1.18;LIDL;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
BEIGNET FRUITS 0.59 X 2;1.18;LIDL;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
BEIGNET COEUR FRUITS 0.59 X 1;0.59;LIDL;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
SELLES SUR CHER 3.90 X 1;3.9;LIDL;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
SPECIALITES LAIT LAT 2.59 X 4;10.36;LIDL;Yaourt et produits similaires;01.1.4.6.0;113;Magasins maxi-discompte
DONUT AU SUCRE 0.49 X 2;0.98;LIDL;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
SPECIALITES LAIT KIR 2.59 X 2;5.18;LIDL;Yaourt et produits similaires;01.1.4.6.0;113;Magasins maxi-discompte
MIMOLETTE EN TRANCHE 2.79 X 1;2.79;LIDL;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
MASQUE REPULPANT 2.29 X 2;4.58;LIDL;Produits de maquillage et de soin de la peau;13.1.2.0.2;113;Magasins maxi-discompte
LESSIVE COULEUR 3.60 X 2;7.2;LIDL;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;113;Magasins maxi-discompte
BRIOCHE FEUILLETEE 3.39 X 1;3.39;LIDL;Viennoiserie;01.1.1.3.9.2;113;Magasins maxi-discompte
KIWI SUR TIGE 5.99 X 1;5.99;LIDL;Kiwi, frais;01.1.6.5.2;113;Magasins maxi-discompte
CHOUCHOU 1.39 X 1;1.39;LIDL;Autres appareils, articles et produits pour soins corporels n.c.a.;13.1.2.0.6;113;Magasins maxi-discompte
BRIOCHE TRESSEE PERLES DE SUCR;5.58;E.LECLERC;Viennoiserie;01.1.1.3.9.2;111;Hypermarchés
GOMS REGLISSE LPQC 265G 2 X 2.44€;4.88;E.LECLERC;Autres confiseries et desserts sucrés n.c.a. (ND);01.1.8.9;111;Hypermarchés
MOUSLINE BIO NATURE 2 X 100G;3.43;E.LECLERC;Pommes de terre transformées, hors chips;01.1.7.9.4.1;111;Hypermarchés
LIMONADE ARTISANALE NRT 1L 3 X 2.59€;7.77;E.LECLERC;Boissons gazeuses;01.2.6.0.0;111;Hypermarchés
PERRIER FINES BULLES 6 X 1L BLEU 2 X 3.72€;7.44;E.LECLERC;Eau;01.2.5.0.0;111;Hypermarchés
MINI PAVE INDIVIDUEL 3 X 0.30€;0.9;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
VIENNETTA 650ML CAPPUCINO;2.89;E.LECLERC;Glace, crème glacée et sorbet (ND);01.1.8.6;111;Hypermarchés
EMMENTAL GRD CRU NRT;5.08;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
EMMENTAL RAPE BIO 29 % MG 200G 2 X 2.12€;4.24;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
ACRAS DE CREVETTES 200G;3.5;E.LECLERC;Plats préparés à base de viande et/ou de poisson;01.1.9.1.2;111;Hypermarchés
MELEE GOURMANDE;0.99;E.LECLERC;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;111;Hypermarchés
PDT PDP VAPEUR SAUTEE 2KG FILIE;3.29;E.LECLERC;Pommes de terre;01.1.7.5.1;111;Hypermarchés
BON IMMEDIAT;-1.94;E.LECLERC;Pommes de terre;01.1.7.5.1;111;Hypermarchés
FRAISE GARRIGUETTE CAT 2 X 2.59;5.18;LA HALLE FERMIERE 47;Fraises, fraîches;01.1.6.4.5;322;Marché et éventaire, ambulant et tournée SAI (ex : boulanger, boucher)
CERISES BARQUETTE 1 X 4.49;4.49;LA HALLE FERMIERE 47;Cerises, fraîches;01.1.6.3.4;322;Marché et éventaire, ambulant et tournée SAI (ex : boulanger, boucher)
PINTADE VIDEE 1 X 24.89;24.89;LA HALLE FERMIERE 47;Viande de volaille fraîche, réfrigérée ou congelée;01.1.2.2.4;322;Marché et éventaire, ambulant et tournée SAI (ex : boulanger, boucher)
DIVERS SAVONS MAIN;2.19;NOZ;Savons, dentifrices et produits de toilette;13.1.2.0.3;211;Grande surface non spécialisée (grand magasin…)
DIVERS SAVONS MAIN;2.19;NOZ;Savons, dentifrices et produits de toilette;13.1.2.0.3;211;Grande surface non spécialisée (grand magasin…)
REDUCTION DIVERS SAVONS MAIN;-2.19;NOZ;Savons, dentifrices et produits de toilette;13.1.2.0.3;211;Grande surface non spécialisée (grand magasin…)
DIVERS SAVONS MAIN;2.19;NOZ;Savons, dentifrices et produits de toilette;13.1.2.0.3;211;Grande surface non spécialisée (grand magasin…)
ACCESSOIRES RIDEAU;0.5;NOZ;Tissus d'ameublement et rideaux (SD);05.2.1.1;211;Grande surface non spécialisée (grand magasin…)
165GR - M&M S TAB;1.99;NOZ;Autres produits alimentaires à base de cacao et préparations de desserts à base de cacao;01.1.8.5.9;211;Grande surface non spécialisée (grand magasin…)
270ML BAT MAG;1.79;NOZ;Glace, crème glacée et sorbet (ND);01.1.8.6;211;Grande surface non spécialisée (grand magasin…)
360ML MAGNUM;2.79;NOZ;Glace, crème glacée et sorbet (ND);01.1.8.6;211;Grande surface non spécialisée (grand magasin…)
LYS TRANSPARENT SE;8.99;NOZ;Verrerie cristallerie céramique et porcelaine (SD);05.4.0.1;211;Grande surface non spécialisée (grand magasin…)
SANDALE FM CUIR NA;14.99;NOZ;Chaussures pour femmes (SD);03.2.1.2;211;Grande surface non spécialisée (grand magasin…)
MULE FM CUIR 36-43;14.99;NOZ;Chaussures pour femmes (SD);03.2.1.2;211;Grande surface non spécialisée (grand magasin…)
SANDALE FM CUIR 36;16.99;NOZ;Chaussures pour femmes (SD);03.2.1.2;211;Grande surface non spécialisée (grand magasin…)
CARBURANT 34.38L X 1.819€;62.54;CARREFOUR;Essence (ND);07.2.2.2;235;Petite surface spécialisée dans la vente de carburant (station-service)
