product;code;libelle
Intermarché Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix du Brésil salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Arachides nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Châtaignes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix du Brésil nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Amandes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix de cajou salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Pistaches grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Arachides nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noisettes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Amandes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noix du Brésil grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Pistaches salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noix de cajou nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Arachides décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Châtaignes salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Noix du Brésil grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Arachides salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix de cajou nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix du Brésil nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Amandes salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Arachides grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Pistaches salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Amandes bio;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Pistaches grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noix de cajou grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix du Brésil décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Arachides salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix du Brésil grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprice Châtaignes nature (Monoprice);01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Amandes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Pistaches salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Arachides décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noisettes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noix de cajou grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Noix du Brésil nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Arachides nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Pistaches bio;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix du Brésil décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noisettes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Pistaches grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Arachides salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Noisettes bio;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noix de cajou nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noix du Brésil grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Arachides grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Amandes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Amandes salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix du Brésil décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix de cajou grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noisettes salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Arachides nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Châtaignes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Amandes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Noix du Brésil décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix de cajou décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Arachides décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noisettes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Amandes bio;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix du Brésil grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Arachides salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Pistaches grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noix de cajou décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Pistaches salées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Arachides nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Noix du Brésil grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Pistaches grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noix du Brésil décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Amandes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Arachides nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Pistaches grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noisettes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noix de cajou décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix du Brésil nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noisettes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Arachides grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noix du Brésil décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Amandes nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Amandes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix du Brésil décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Arachides nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Noix grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Nature & Cie Pistaches grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noix du Brésil nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Amandes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchan Noix décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Monoprix Pistaches nature;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Lidl Noisettes grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Intermarché Arachides décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Bjorg Pistaches décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour Noisettes décortiquées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Casino Noix de cajou grillées;01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Auchin Amandes bio (Auchin);01.1.6.8;Fruits à coque, non décortiqués ou décortiqués (ND)
Carrefour – Amandes grillées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Noix de cajou salées 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Pistaches décortiquées nature 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Mangues en conserve 400 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Ananas en tranches au sirop 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Noix du Brésil 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Fraises au sirop 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Pêches au sirop 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Mélange fruits secs 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturalia – Amandes grillées bio 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Noix de macadamia nature 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto (Lidl) – Noix de pécan caramélisées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Abricots secs 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Noix de Grenoble grillées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Noisettes salées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Mélange noix & amandes 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Cerises en conserve 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Pêches au naturel 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Figues séchées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Ananas en morceaux 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Ananas en dés 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Noix de cajou grillées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturalia – Pistaches salées bio 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Amandes entières bio 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto – Noix du Brésil grillées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Dattes Medjool 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Noix de pécan nature 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Noix de macadamia grillées 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Mélange fruits secs tropicaux 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Prunes séchées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Abricots secs sans sucre 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Noix de Grenoble salées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Poireaux confits au citron 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Pêches au sirop légères 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Mélange noix & pistaches 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturée – Amandes grillées au miel 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Noix de cajou nature 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto – Pistaches grillées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Figues confites 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Amandes effilées grillées 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Noisettes décortiquées nature 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Pistaches salées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Mangues en dés au sirop 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Ananas en tranches 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Abricots secs bio 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Cerises au sirop 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Pêches en conserve 400 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Noix de macadamia nature 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturalia – Noix du Brésil salées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Amandes grillées au sel 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto – Noix de pécan caramélisées 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Datte Medjool dénoyautée 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Noisettes grillées au sel 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Mélange fruits secs & noix 350 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Noix de cajou grillées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Prunes au sirop 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Abricots secs nature 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Pistaches décortiquées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Ananas en morceaux au jus 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Pêches au naturel 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Noix de Grenoble décortiquées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturée – Amandes salées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Noix du Brésil bio 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto – Noisettes grillées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Figues séchées 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Noix de pécan grillées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Amandes nature 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Mélange fruits secs exotiques 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Mangues en morceaux 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Ananas en dés 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Dattes séchées sans sucre 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Cerises confites 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Pêches en conserve sans sucre ajouté 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Noisettes décortiquées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturalia – Pistaches nature bio 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Amandes grillées au paprika 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto – Noix de cajou salées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Abricots secs confits 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Noix du Brésil décortiquées 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchen – Noix de macadamia grillées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Mélange noix & amandes grillées 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Prunes séchées sans sucre 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Abricots secs au miel 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Pistaches salées 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Ananas en tranches au sirop 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Pêches au sirop allégé 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Noix de Grenoble nature 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturée – Amandes grillées au citron 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Noisettes salées bio 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto – Pistaches au sel marin 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Figues fraîches 250 g (section fruits secs);01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Noix de pécan nature 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Amandes décortiquées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Intermarché – Mélange fruits secs & raisins secs 350 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Casino – Mangues en conserve sans sucre ajouté 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Monoprix – Ananas en dés au sirop léger 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Lidl – Dattes Medjool nature 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Picard – Cerises au sirop light 300 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Bonduelle – Pêches au naturel sans sucre 425 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
La Vie Claire – Noisettes grillées au sel marin 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Naturalia – Pistaches grillées bio 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Celnat – Amandes grillées à l’huile d’olive 180 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Alesto – Noix du Brésil salées 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Fruits & Co – Abricots secs bio 250 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Carrefour – Noix de cajou grillées au piment 150 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
Auchan – Noix de macadamia nature 200 g;01.1.6.9;Fruits et fruits à coque, moulus ou dans d’autres préparations (ND)
